MPO,FechaHora,Aportes Caudal m3/s,Aportes %,Volumen Útil Diario Mm3,Volumen Útil Diario Energía kWh,Volumen Útil Díario %,Volumen Mm3,Volumen Energía kWh,Volumen %
368.0,2016-02-09 22:00:00,27.229892857142858,0.5379921593035715,266.4485652173913,367359830.4347826,0.47565217391304343,383.6042173913043,434749847.82608694,0.5668695652173913
430.0,2016-02-10 22:00:00,24.483392857142857,0.5807005629222223,263.17452173913045,364410086.95652175,0.457,380.3301739130435,431800086.95652175,0.5516521739130436
451.0,2016-02-11 22:00:00,28.209607142857145,0.6293385293928572,261.49852173913047,361989443.4782609,0.4508260869565217,378.6541739130435,429379443.4782609,0.5475652173913044
458.0,2016-02-12 22:00:00,26.983285714285717,0.5776820867793104,260.5203043478261,359658308.6956522,0.45130434782608697,377.6759565217391,427048308.6956522,0.5466521739130435
510.0,2016-02-13 22:00:00,22.085071428571432,0.5430484073214286,259.46308695652175,357172486.95652175,0.4508260869565217,376.6187391304348,424562491.3043478,0.5463913043478261
560.0,2016-02-14 22:00:00,21.746964285714284,0.5842567874259259,258.88121739130435,355733300.0,0.45443478260869563,376.0368695652174,423123313.04347825,0.5483478260869565
670.7,2016-02-15 22:00:00,20.69010714285714,0.5368435572464285,255.32126086956524,352888608.6956522,0.4469565217391304,372.47691304347825,420278626.0869565,0.5435652173913044
660.0,2016-02-16 22:00:00,19.68260714285714,0.5004510196666667,252.2667391304348,349778004.34782606,0.43117391304347824,369.42239130434785,417168017.3913044,0.5301739130434783
845.0,2016-02-17 22:00:00,27.197607142857144,0.7505133141928572,250.90556521739128,348675700.0,0.4331304347826087,368.0612173913043,416065704.34782606,0.5320434782608696
876.6,2016-02-18 22:00:00,23.628000000000004,0.5477394725357143,249.01139130434782,346425726.0869565,0.41456521739130436,366.1670434782609,413815752.17391306,0.5162608695652174
876.6,2016-02-19 22:00:00,22.251142857142856,0.5523794538964285,245.99739130434781,343701934.7826087,0.4126086956521739,363.1530434782609,411091960.8695652,0.5149565217391304
876.6,2016-02-20 22:00:00,25.390428571428572,0.58134974505,244.13995652173912,341675552.17391306,0.4025217391304348,361.2956086956522,409065556.5217391,0.5071739130434783
876.6,2016-02-21 22:00:00,33.888392857142854,0.9390260450275862,243.31534782608693,343001991.3043478,0.42760869565217396,360.471,410391991.3043478,0.5263913043478261
876.6,2016-02-22 22:00:00,28.698857142857143,0.7588265634357142,239.94391304347826,341003926.0869565,0.4303478260869565,357.0995652173913,408393943.4782609,0.5281739130434783
876.0,2016-02-23 22:00:00,31.19825,0.774925661325,237.51491304347826,338981743.4782609,0.40830434782608693,354.6705652173913,406371747.82608694,0.5099130434782608
876.6,2016-02-24 22:00:00,26.999142857142857,0.5845261773642857,233.98878260869566,336568326.0869565,0.4050434782608696,351.1444347826087,403958339.1304348,0.5073043478260869
876.6,2016-02-25 22:00:00,27.646428571428572,0.6746644065551725,231.349,334769730.4347826,0.4036086956521739,348.50465217391303,402159739.1304348,0.507
876.61,2016-02-26 22:00:00,28.452321428571427,0.6617479385827586,228.56256521739132,332790317.3913044,0.40747826086956523,345.71821739130434,400180334.7826087,0.5112173913043478
876.6,2016-02-27 22:00:00,32.03225,0.6361211566892857,227.33517391304346,331390965.2173913,0.3952173913043478,344.49082608695653,398780965.2173913,0.4995217391304348
876.6,2016-02-28 22:00:00,26.166,0.5400644294074074,225.4855652173913,329886873.9130435,0.39495652173913043,342.64121739130434,397276882.6086956,0.4997391304347826
876.6,2016-02-29 22:00:00,22.739964285714283,0.5104105105178571,222.56678260869566,327068234.7826087,0.3783478260869565,339.7224347826087,394458243.4782609,0.48613043478260876
440.0,2016-02-01 23:00:00,19.761321428571428,0.4712194485666667,283.1401739130435,389811017.3913044,0.5036086956521739,402.5245217391304,457587039.1304348,0.5910869565217391
416.0,2016-02-02 23:00:00,17.3295,0.44874255865925927,281.08404347826087,386533904.34782606,0.49234782608695654,400.4683913043478,454309921.73913044,0.5821304347826086
460.0,2016-02-03 23:00:00,18.403285714285715,0.5258360578538462,277.7052608695652,382938378.26086956,0.4870434782608696,397.08960869565215,450714400.0,0.5759565217391305
459.0,2016-02-04 23:00:00,17.043,0.4533106615192307,275.163,379171682.6086956,0.47482608695652173,394.54734782608693,446947704.34782606,0.5654347826086957
439.08,2016-02-05 23:00:00,21.150178571428572,0.5528467291444444,272.0354782608696,376114373.9130435,0.4806521739130435,391.4198260869565,443890391.3043478,0.5720434782608695
487.0,2016-02-06 23:00:00,20.138321428571427,0.48906158686153844,271.0192608695652,373652352.17391306,0.4767391304347826,390.40360869565217,441428382.6086956,0.5689565217391305
450.0,2016-02-07 23:00:00,18.73671428571428,0.46586902448518513,270.28573913043476,371850382.6086956,0.47452173913043477,389.67008695652174,439626391.3043478,0.567695652173913
430.0,2016-02-08 23:00:00,21.709321428571428,0.5272870004428571,267.84608695652173,369610304.34782606,0.48126086956521735,387.23043478260865,437386321.73913044,0.5722608695652174
368.0,2016-02-09 23:00:00,27.229892857142858,0.5379921593035715,266.4485652173913,367359830.4347826,0.47565217391304343,383.6042173913043,434749847.82608694,0.5668695652173913
365.7,2016-02-10 23:00:00,24.483392857142857,0.5807005629222223,263.17452173913045,364410086.95652175,0.457,380.3301739130435,431800086.95652175,0.5516521739130436
451.0,2016-02-11 23:00:00,28.209607142857145,0.6293385293928572,261.49852173913047,361989443.4782609,0.4508260869565217,378.6541739130435,429379443.4782609,0.5475652173913044
458.0,2016-02-12 23:00:00,26.983285714285717,0.5776820867793104,260.5203043478261,359658308.6956522,0.45130434782608697,377.6759565217391,427048308.6956522,0.5466521739130435
470.0,2016-02-13 23:00:00,22.085071428571432,0.5430484073214286,259.46308695652175,357172486.95652175,0.4508260869565217,376.6187391304348,424562491.3043478,0.5463913043478261
525.0,2016-02-14 23:00:00,21.746964285714284,0.5842567874259259,258.88121739130435,355733300.0,0.45443478260869563,376.0368695652174,423123313.04347825,0.5483478260869565
560.0,2016-02-15 23:00:00,20.69010714285714,0.5368435572464285,255.32126086956524,352888608.6956522,0.4469565217391304,372.47691304347825,420278626.0869565,0.5435652173913044
620.0,2016-02-16 23:00:00,19.68260714285714,0.5004510196666667,252.2667391304348,349778004.34782606,0.43117391304347824,369.42239130434785,417168017.3913044,0.5301739130434783
845.0,2016-02-17 23:00:00,27.197607142857144,0.7505133141928572,250.90556521739128,348675700.0,0.4331304347826087,368.0612173913043,416065704.34782606,0.5320434782608696
876.6,2016-02-18 23:00:00,23.628000000000004,0.5477394725357143,249.01139130434782,346425726.0869565,0.41456521739130436,366.1670434782609,413815752.17391306,0.5162608695652174
876.6,2016-02-19 23:00:00,22.251142857142856,0.5523794538964285,245.99739130434781,343701934.7826087,0.4126086956521739,363.1530434782609,411091960.8695652,0.5149565217391304
876.6,2016-02-20 23:00:00,25.390428571428572,0.58134974505,244.13995652173912,341675552.17391306,0.4025217391304348,361.2956086956522,409065556.5217391,0.5071739130434783
876.6,2016-02-21 23:00:00,33.888392857142854,0.9390260450275862,243.31534782608693,343001991.3043478,0.42760869565217396,360.471,410391991.3043478,0.5263913043478261
876.59,2016-02-22 23:00:00,28.698857142857143,0.7588265634357142,239.94391304347826,341003926.0869565,0.4303478260869565,357.0995652173913,408393943.4782609,0.5281739130434783
875.5,2016-02-23 23:00:00,31.19825,0.774925661325,237.51491304347826,338981743.4782609,0.40830434782608693,354.6705652173913,406371747.82608694,0.5099130434782608
876.6,2016-02-24 23:00:00,26.999142857142857,0.5845261773642857,233.98878260869566,336568326.0869565,0.4050434782608696,351.1444347826087,403958339.1304348,0.5073043478260869
876.6,2016-02-25 23:00:00,27.646428571428572,0.6746644065551725,231.349,334769730.4347826,0.4036086956521739,348.50465217391303,402159739.1304348,0.507
876.6,2016-02-26 23:00:00,28.452321428571427,0.6617479385827586,228.56256521739132,332790317.3913044,0.40747826086956523,345.71821739130434,400180334.7826087,0.5112173913043478
876.6,2016-02-27 23:00:00,32.03225,0.6361211566892857,227.33517391304346,331390965.2173913,0.3952173913043478,344.49082608695653,398780965.2173913,0.4995217391304348
876.6,2016-02-28 23:00:00,26.166,0.5400644294074074,225.4855652173913,329886873.9130435,0.39495652173913043,342.64121739130434,397276882.6086956,0.4997391304347826
876.6,2016-02-29 23:00:00,22.739964285714283,0.5104105105178571,222.56678260869566,327068234.7826087,0.3783478260869565,339.7224347826087,394458243.4782609,0.48613043478260876
